Ticker,Entry Time,Exit Time,Side,Entry Price,Exit Price,PNL,Exit Reason
GODFRYPHLP,2025-08-20 09:25:00,2025-08-20 09:31:00,LONG,10245.0,10126.5,-1066.5,Stop Loss
GODFRYPHLP,2025-08-20 09:32:00,2025-08-20 09:59:00,LONG,10248.0,10509.5,2353.5,Target Hit
GODFRYPHLP,2025-08-20 10:00:00,2025-08-20 10:03:00,LONG,10550.0,10495.5,-490.5,Stop Loss
GODFRYPHLP,2025-08-20 10:04:00,2025-08-20 10:21:00,LONG,10529.5,10750.0,1984.5,Target Hit
GODFRYPHLP,2025-08-20 10:22:00,2025-08-20 10:25:00,LONG,10746.5,10692.0,-490.5,Stop Loss
GODFRYPHLP,2025-08-20 10:26:00,2025-08-20 10:40:00,LONG,10700.0,10786.5,778.5,Trailing Stop
GODFRYPHLP,2025-08-20 10:41:00,2025-08-20 10:42:00,LONG,10800.0,10746.0,-486.0,Stop Loss
GODFRYPHLP,2025-08-20 10:43:00,2025-08-20 10:51:00,LONG,10786.0,10845.0,531.0,Trailing Stop
GODFRYPHLP,2025-08-20 10:52:00,2025-08-20 11:16:00,LONG,10870.0,10777.0,-837.0,Stop Loss
GODFRYPHLP,2025-08-20 11:17:00,2025-08-20 11:48:00,LONG,10811.5,10888.5,693.0,Trailing Stop
GODFRYPHLP,2025-08-20 11:49:00,2025-08-20 13:04:00,LONG,10895.0,11118.0,2007.0,Target Hit
GODFRYPHLP,2025-08-20 13:05:00,2025-08-20 13:11:00,LONG,11128.0,11062.0,-528.0,Stop Loss
GODFRYPHLP,2025-08-20 13:12:00,2025-08-20 13:23:00,LONG,11093.0,11342.0,2241.0,Target Hit
GODFRYPHLP,2025-08-20 13:24:00,2025-08-20 13:24:00,LONG,11421.0,11353.5,-540.0,Stop Loss
GODFRYPHLP,2025-08-20 13:25:00,2025-08-20 13:35:00,LONG,11377.5,11305.0,-580.0,Stop Loss
GODFRYPHLP,2025-08-20 13:36:00,2025-08-20 13:36:00,LONG,11317.0,11233.0,-672.0,Stop Loss
GODFRYPHLP,2025-08-20 13:37:00,2025-08-20 13:38:00,LONG,11255.0,11192.0,-504.0,Stop Loss
GODFRYPHLP,2025-08-20 13:39:00,2025-08-20 13:46:00,LONG,11265.0,11207.5,-460.0,Stop Loss
GODFRYPHLP,2025-08-20 13:47:00,2025-08-20 14:04:00,LONG,11230.5,11093.0,-1100.0,Stop Loss
CLEAN,2025-08-21 14:45:00,2025-08-21 14:51:00,LONG,1188.5,1175.0,-1134.0,Stop Loss
OLAELEC,2025-08-21 13:25:00,2025-08-21 13:28:00,LONG,50.37,50.06,-615.35,Stop Loss
OLAELEC,2025-08-21 13:29:00,2025-08-21 13:48:00,LONG,50.15,49.83,-638.08,Stop Loss
SWIGGY,2025-08-21 09:25:00,2025-08-21 09:56:00,LONG,434.45,437.75,759.0,Trailing Stop
SWIGGY,2025-08-21 09:57:00,2025-08-21 09:57:00,LONG,438.8,436.4,-544.8,Stop Loss
SWIGGY,2025-08-21 09:58:00,2025-08-21 10:02:00,LONG,436.95,434.2,-627.0,Stop Loss
SWIGGY,2025-08-21 10:03:00,2025-08-21 10:05:00,LONG,434.9,432.2,-618.3,Stop Loss
SWIGGY,2025-08-21 10:06:00,2025-08-21 10:06:00,LONG,433.0,429.75,-747.5,Stop Loss
SWIGGY,2025-08-21 10:07:00,2025-08-21 12:02:00,LONG,430.7,433.2,580.0,Trailing Stop
SWIGGY,2025-08-21 12:25:00,2025-08-21 12:33:00,LONG,435.75,433.5,-515.25,Stop Loss
SWIGGY,2025-08-21 12:34:00,2025-08-21 12:51:00,LONG,433.8,431.5,-529.0,Stop Loss
SWIGGY,2025-08-21 14:55:00,2025-08-21 15:24:00,LONG,434.95,432.6,-538.15,Stop Loss
GODFRYPHLP,2025-08-21 15:15:00,2025-08-21 15:23:00,LONG,11190.0,11118.0,-576.0,Stop Loss
GODFRYPHLP,2025-08-21 15:24:00,2025-08-21 15:24:00,LONG,11166.5,11067.5,-792.0,Stop Loss
WAAREEENER,2025-08-21 09:25:00,2025-08-21 09:47:00,LONG,3224.0,3295.0,2201.0,Target Hit
WAAREEENER,2025-08-21 09:48:00,2025-08-21 09:50:00,LONG,3299.0,3282.5,-495.0,Stop Loss
WAAREEENER,2025-08-21 09:51:00,2025-08-21 10:07:00,LONG,3283.2,3266.2,-510.0,Stop Loss
WAAREEENER,2025-08-21 10:08:00,2025-08-21 10:20:00,LONG,3268.3,3248.9,-582.0,Stop Loss
WAAREEENER,2025-08-21 10:21:00,2025-08-21 10:50:00,LONG,3259.0,3242.2,-504.0,Stop Loss
WAAREEENER,2025-08-21 10:51:00,2025-08-21 13:03:00,LONG,3249.6,3232.0,-528.0,Stop Loss
TCS,2025-08-21 09:35:00,2025-08-21 15:29:00,LONG,3097.8,3100.0,70.4,End of Day
RELIANCE,2025-08-21 09:25:00,2025-08-21 15:29:00,LONG,1427.5,1424.5,-210.0,End of Day
JWL,2025-08-21 09:25:00,2025-08-21 09:36:00,LONG,359.8,361.7,526.3,Trailing Stop
JWL,2025-08-21 09:37:00,2025-08-21 09:55:00,LONG,363.75,365.95,602.8,Trailing Stop
JWL,2025-08-21 09:56:00,2025-08-21 10:45:00,LONG,367.0,365.1,-516.8,Stop Loss
JWL,2025-08-21 10:46:00,2025-08-21 11:01:00,LONG,366.15,362.7,-941.85,Stop Loss
JWL,2025-08-21 11:02:00,2025-08-21 11:06:00,LONG,363.5,361.5,-550.0,Stop Loss
JWL,2025-08-21 11:07:00,2025-08-21 12:16:00,LONG,362.5,360.6,-522.5,Stop Loss
INFY,2025-08-21 10:15:00,2025-08-21 15:29:00,LONG,1494.9,1495.0,6.6,End of Day
HDFCBANK,2025-08-21 10:25:00,2025-08-21 15:29:00,LONG,1992.2,1990.9,-65.0,End of Day
VEDL,2025-08-22 13:15:00,2025-08-22 15:29:00,LONG,445.8,444.5,-291.2,End of Day
TITAGARH,2025-08-22 09:25:00,2025-08-22 09:33:00,LONG,862.6,856.65,-684.25,Stop Loss
TITAGARH,2025-08-22 09:34:00,2025-08-22 09:46:00,LONG,858.2,853.55,-539.4,Stop Loss
TITAGARH,2025-08-22 13:25:00,2025-08-22 15:29:00,LONG,853.6,857.0,397.8,End of Day
LEMONTREE,2025-08-22 09:25:00,2025-08-22 09:26:00,LONG,169.93,168.79,-670.32,Stop Loss
LEMONTREE,2025-08-22 09:27:00,2025-08-22 09:35:00,LONG,169.04,168.18,-508.26,Stop Loss
LEMONTREE,2025-08-22 09:36:00,2025-08-22 09:44:00,LONG,168.41,167.54,-515.91,Stop Loss
